product_id|sku|name|category|list_price|cost_price|brand
45|SKU-1045|Cobalt Storage Nano|Storage|83.72|37.69|Vertex
46|SKU-1046|Nimbus Storage Max|Storage|264.10|176.64|Cobalt
47|SKU-1047|Nimbus Storage Air|Storage|496.81|295.79|Orbit
48|SKU-1048|Solace Storage Edge|Storage|298.20|183.00|Kestrel
49|SKU-1049|Vertex Storage Prime|Storage|395.78|271.27|Orbit
50|SKU-1050|Nimbus Storage Lite|Storage|518.17|300.48|Orbit
51|SKU-1051|Orbit Video Pro|Video|479.47|313.40|Northgear
52|SKU-1052|Northgear Video Ultra|Video|124.59|62.88|Northgear
53|SKU-1053|Vertex Video Compact|Video|510.51|294.49|Nimbus
54|SKU-1054|Cobalt Video Studio|Video|657.90|465.96|Vertex
55|SKU-1055|Northgear Video Nano|Video|66.78|43.14|Kestrel
56|SKU-1056|Kestrel Video Max|Video|842.57|433.96|Kestrel
57|SKU-1057|Cobalt Video Air|Video|708.88|429.01|Nimbus
58|SKU-1058|Vertex Video Edge|Video|720.71|517.49|Voltra
59|SKU-1059|Kestrel Video Prime|Video|627.12|295.89|Cobalt
60|SKU-1060|Kestrel Video Lite|Video|108.60|73.23|Orbit
61|SKU-1061|Kestrel Networking Pro|Networking|366.77|262.83|Vertex
62|SKU-1062|Lumen Networking Ultra|Networking|381.51|178.84|Ridge
63|SKU-1063|Northgear Networking Compact|Networking|177.97|92.31|Lumen
64|SKU-1064|Cobalt Networking Studio|Networking|128.47|74.03|Cobalt
65|SKU-1065|Ridge Networking Nano|Networking|173.95|111.47|Vertex
66|SKU-1066|Orbit Networking Max|Networking|147.27|67.51|Lumen
67|SKU-1067|Vertex Networking Air|Networking|63.85|38.23|Voltra
68|SKU-1068|Kestrel Networking Edge|Networking|196.96|137.10|Kestrel
69|SKU-1069|Kestrel Networking Prime|Networking|203.22|125.76|Voltra
70|SKU-1070|Ridge Networking Lite|Networking|362.97|255.80|Nimbus
71|SKU-1071|Nimbus Peripherals Pro|Peripherals|219.93|145.18|Vertex
72|SKU-1072|Northgear Peripherals Ultra|Peripherals|57.31|35.80|Orbit
73|SKU-1073|Orbit Peripherals Compact|Peripherals|194.25|91.94|Orbit
74|SKU-1074|Ridge Peripherals Studio|Peripherals|157.11|103.86|Vertex
75|SKU-1075|Solace Peripherals Nano|Peripherals|173.63|84.52|Orbit
76|SKU-1076|Northgear Peripherals Max|Peripherals|183.27|83.24|Orbit
77|SKU-1077|Voltra Peripherals Air|Peripherals|62.44|44.75|Cobalt
78|SKU-1078|Orbit Peripherals Edge|Peripherals|47.16|29.33|Nimbus
79|SKU-1079|Nimbus Peripherals Prime|Peripherals|111.71|68.97|Cobalt
80|SKU-1080|Northgear Peripherals Lite|Peripherals|112.72|74.07|Voltra
