deal_id|deal_name|account_id|rep_id|stage|lead_source|deal_type|amount|probability_pct|created_date|expected_close_date|close_date
67|Fourth Coffee SL - Support Renewal|48|7|Closed Lost|Website|New Business|4000.00|0|2026-06-12|2026-10-28|2026-09-30
68|Winsome Apparel GmbH - Analytics Suite|10|6|Qualification|Outbound|New Business|62000.00|25|2026-05-20|2026-10-17|
69|Fourth Coffee GmbH - Migration Project|8|5|Negotiation|Website|New Business|18500.00|75|2026-03-07|2026-07-17|
70|Nod Publishers SpA - Training Package|43|4|Proposal|Website|Renewal|17500.00|50|2026-06-03|2026-07-12|
71|Trey Research GmbH - Support Renewal|57|8|Closed Lost|Trade Show|New Business|64500.00|0|2025-04-14|2025-08-31|2025-08-08
72|Fourth Coffee GmbH - Migration Project|8|9|Proposal|Website|Upsell|111000.00|50|2026-04-04|2026-05-23|
73|The Phone Company SARL - Migration Project|28|5|Closed Won|Outbound|New Business|25500.00|100|2025-09-02|2025-10-27|2025-09-30
74|VanArsdel SARL - Analytics Suite|27|11|Proposal|Referral|Upsell|9500.00|50|2026-08-05|2026-12-23|
75|Northwind Traders AB - Enterprise License|51|9|Closed Won|Outbound|New Business|15500.00|100|2025-04-10|2025-08-31|2025-09-29
76|Northwind Traders GmbH - Support Renewal|11|7|Closed Won|Outbound|Renewal|22500.00|100|2025-01-17|2025-04-01|2025-04-23
77|Coho Winery Sp. z o.o. - Reporting Add-on|54|8|Proposal|Website|Renewal|24000.00|50|2026-07-26|2026-10-01|
78|Adventure Works SpA - Training Package|45|2|Closed Lost|Referral|Upsell|130000.00|0|2025-07-11|2025-09-17|2025-10-10
79|Prose Ware Systems Inc - Training Package|59|8|Closed Won|Outbound|Upsell|71000.00|100|2025-01-03|2025-01-23|2025-01-30
80|Woodgrove Bank GmbH - Training Package|56|2|Closed Lost|Outbound|New Business|20500.00|0|2025-04-20|2025-07-29|2025-07-09
81|Best For You Organics Ltd - Support Renewal|36|7|Closed Won|Website|Renewal|26500.00|100|2026-06-20|2026-10-05|2026-09-30
82|Litware GmbH - Training Package|12|11|Qualification|Website|New Business|80500.00|25|2026-09-16|2027-01-16|
83|Tailspin Toys Inc - Analytics Suite|25|5|Negotiation|Outbound|New Business|53000.00|75|2026-03-16|2026-05-06|
84|Proseware BV - Cloud Subscription|40|9|Closed Won|Website|New Business|53500.00|100|2025-05-02|2025-07-13|2025-07-17
85|Lucerne Publishing Ltd - Analytics Suite|38|11|Negotiation|Website|New Business|39000.00|75|2025-03-12|2025-06-09|
86|Nod Publishers GmbH - Analytics Suite|3|2|Qualification|Referral|New Business|34500.00|25|2026-02-05|2026-05-04|
87|Bellows College Inc - Training Package|22|12|Closed Won|Website|Upsell|33000.00|100|2025-03-29|2025-05-21|2025-05-20
88|Consolidated Messenger GmbH - Analytics Suite|4|1|Negotiation|Referral|New Business|136000.00|75|2025-12-12|2026-03-10|
89|Coho Winery GmbH - Migration Project|14|12|Closed Won|Website|Renewal|71000.00|100|2025-07-05|2025-11-04|2025-10-08
90|Contoso Inc - Support Renewal|21|5|Closed Won|Website|Renewal|14500.00|100|2025-04-09|2025-07-11|2025-07-16
91|Fincher Architects SpA - Enterprise License|46|8|Qualification|Trade Show|New Business|150000.00|25|2026-06-25|2026-09-20|
92|Southridge Video GmbH - Reporting Add-on|1|4|Negotiation|Website|Upsell|36000.00|75|2026-01-30|2026-04-22|
93|Bellows College Inc - Migration Project|22|3|Negotiation|Outbound|New Business|20000.00|75|2026-03-26|2026-05-08|
94|Southridge Video BV - Analytics Suite|41|6|Negotiation|Referral|Renewal|28500.00|75|2026-01-01|2026-04-12|
95|Prose Ware Systems Inc - Reporting Add-on|59|7|Proposal|Website|Renewal|24500.00|50|2026-03-01|2026-06-15|
96|City Power & Light GmbH - Training Package|9|12|Qualification|Trade Show|New Business|16000.00|25|2026-03-04|2026-07-22|
97|Winsome Apparel AB - Migration Project|50|4|Negotiation|Website|Renewal|22500.00|75|2025-10-12|2025-12-13|
98|Fourth Coffee GmbH - Enterprise License|8|4|Proposal|Referral|New Business|45500.00|50|2025-10-27|2026-03-19|
99|Wide World Importers Inc - Migration Project|24|4|Closed Won|Referral|New Business|25500.00|100|2026-06-05|2026-09-29|2026-09-12
100|Winsome Apparel GmbH - Reporting Add-on|10|8|Prospecting|Website|Upsell|41000.00|10|2026-09-03|2026-12-30|
101|Northwind Traders AB - Cloud Subscription|51|5|Closed Won|Website|Renewal|15000.00|100|2025-10-18|2025-12-07|2025-11-19
102|Fourth Coffee GmbH - Support Renewal|8|5|Closed Won|Outbound|New Business|6000.00|100|2026-06-13|2026-09-11|2026-09-30
103|Wide Field Robotics SARL - Data Platform|31|1|Closed Lost|Outbound|New Business|14500.00|0|2025-01-31|2025-03-18|2025-03-19
104|Nod Publishers GmbH - Training Package|3|9|Negotiation|Partner|New Business|26500.00|75|2026-08-08|2026-10-10|
105|Parnell Aerospace SARL - Cloud Subscription|30|1|Negotiation|Partner|Renewal|21000.00|75|2025-11-07|2025-12-02|
106|Relecloud Sp. z o.o. - Enterprise License|55|12|Proposal|Referral|Renewal|24500.00|50|2026-09-04|2026-10-25|
107|Adventure Works GmbH - Data Platform|5|8|Closed Lost|Trade Show|New Business|52000.00|0|2025-09-15|2026-01-20|2025-12-18
108|Adventure Works GmbH - Reporting Add-on|5|9|Closed Won|Referral|New Business|63500.00|100|2025-08-16|2025-10-22|2025-10-28
109|Consolidated Messenger GmbH - Training Package|4|4|Closed Lost|Trade Show|New Business|24000.00|0|2025-07-21|2025-12-18|2025-11-10
110|Consolidated Messenger GmbH - Analytics Suite|4|11|Closed Won|Trade Show|Renewal|10500.00|100|2025-07-06|2025-08-02|2025-08-03
111|Munson's Pickles Sp. z o.o. - Enterprise License|53|7|Closed Won|Website|New Business|121500.00|100|2025-05-07|2025-08-26|2025-09-14
112|Margie's Travel SL - Support Renewal|47|8|Closed Won|Outbound|New Business|13000.00|100|2025-02-05|2025-06-11|2025-05-21
113|Prose Ware Systems Inc - Analytics Suite|59|5|Negotiation|Referral|New Business|9500.00|75|2026-01-16|2026-05-08|
114|Relecloud Inc - Data Platform|15|4|Closed Won|Trade Show|New Business|13000.00|100|2026-01-18|2026-04-10|2026-05-02
115|Contoso Inc - Data Platform|21|9|Proposal|Trade Show|New Business|26500.00|50|2026-03-05|2026-07-25|
116|Lucerne Publishing Ltd - Data Platform|38|5|Closed Won|Outbound|Renewal|17500.00|100|2025-05-12|2025-08-11|2025-07-05
117|Winsome Apparel AB - Cloud Subscription|50|2|Proposal|Website|Renewal|22000.00|50|2026-02-28|2026-05-03|
118|Bellows College Inc - Training Package|22|4|Closed Lost|Outbound|New Business|11500.00|0|2025-09-11|2025-11-14|2025-11-22
119|Woodgrove Bank Inc - Analytics Suite|16|1|Negotiation|Website|New Business|32000.00|75|2025-07-27|2025-09-18|
120|Relecloud Sp. z o.o. - Reporting Add-on|55|4|Closed Won|Referral|New Business|9000.00|100|2025-06-28|2025-07-23|2025-08-03
121|Nod Publishers SpA - Reporting Add-on|43|7|Closed Lost|Outbound|New Business|11500.00|0|2025-11-30|2026-01-07|2025-12-31
122|Nod Publishers SpA - Migration Project|43|3|Negotiation|Referral|New Business|35500.00|75|2026-01-17|2026-03-02|
123|Lamna Healthcare Ltd - Cloud Subscription|34|5|Proposal|Trade Show|New Business|18500.00|50|2026-07-24|2026-10-11|
124|First Up Consultants SARL - Analytics Suite|29|10|Prospecting|Website|Renewal|8500.00|10|2026-06-10|2026-07-23|
125|Humongous Insurance Ltd - Support Renewal|33|8|Closed Won|Website|Upsell|20500.00|100|2025-07-08|2025-08-30|2025-09-21
126|Nod Publishers SpA - Enterprise License|43|8|Closed Lost|Partner|Renewal|37000.00|0|2025-01-17|2025-05-11|2025-04-23
127|City Power & Light SL - Data Platform|49|3|Closed Won|Partner|Upsell|25500.00|100|2025-04-21|2025-08-18|2025-07-15
128|Northwind Traders AB - Cloud Subscription|51|12|Proposal|Trade Show|New Business|10500.00|50|2026-08-09|2026-12-13|
129|Litware GmbH - Training Package|12|11|Closed Won|Website|Upsell|11000.00|100|2025-11-29|2026-02-19|2026-02-15
130|Fincher Architects SpA - Reporting Add-on|46|3|Closed Won|Partner|Renewal|54000.00|100|2025-04-08|2025-08-28|2025-08-24
131|Wide World Importers Inc - Data Platform|24|12|Negotiation|Partner|Renewal|17000.00|75|2026-03-16|2026-05-30|
132|Liberty Delightful Sinful Bakery Ltd - Cloud Subscription|35|5|Qualification|Trade Show|New Business|27000.00|25|2026-08-26|2027-01-13|
133|Fincher Architects SpA - Cloud Subscription|46|9|Closed Won|Website|New Business|50500.00|100|2026-02-20|2026-05-16|2026-05-13
134|Nod Publishers SpA - Data Platform|43|11|Closed Won|Outbound|Renewal|47000.00|100|2026-02-01|2026-04-10|2026-03-02
135|Consolidated Messenger GmbH - Cloud Subscription|4|12|Closed Lost|Outbound|Renewal|48000.00|0|2025-10-31|2026-03-19|2026-03-01
136|Consolidated Messenger GmbH - Support Renewal|4|11|Closed Won|Referral|Renewal|44000.00|100|2025-01-30|2025-04-21|2025-06-03
137|Liberty Delightful Sinful Bakery Ltd - Reporting Add-on|35|6|Qualification|Website|Renewal|23000.00|25|2026-04-26|2026-06-26|
138|Consolidated Messenger GmbH - Data Platform|4|4|Closed Won|Partner|New Business|24500.00|100|2025-09-18|2026-01-05|2025-12-14
139|Alpine Ski House SARL - Cloud Subscription|26|2|Closed Lost|Trade Show|Upsell|16500.00|0|2025-07-02|2025-10-15|2025-10-26
140|Trail Frames Chalet Inc - Support Renewal|18|1|Prospecting|Outbound|Upsell|17000.00|10|2025-12-31|2026-02-17|
141|Consolidated Messenger GmbH - Analytics Suite|4|11|Closed Won|Referral|New Business|19500.00|100|2025-04-17|2025-08-14|2025-10-16
142|Contoso Inc - Analytics Suite|21|7|Prospecting|Outbound|Renewal|20000.00|10|2026-04-24|2026-06-21|
143|Tres Chic Boutique GmbH - Cloud Subscription|2|3|Negotiation|Website|New Business|23000.00|75|2025-05-02|2025-08-03|
144|Adventure Works GmbH - Enterprise License|5|7|Qualification|Trade Show|New Business|180000.00|25|2026-09-23|2026-10-31|
145|The Phone Company SARL - Migration Project|28|12|Proposal|Outbound|New Business|17000.00|50|2026-03-13|2026-04-27|
146|Wingtip Toys BV - Cloud Subscription|39|9|Closed Lost|Outbound|New Business|42000.00|0|2025-01-08|2025-02-25|2025-03-09
147|Parnell Aerospace SARL - Training Package|30|11|Negotiation|Outbound|Renewal|74000.00|75|2026-01-18|2026-03-27|
148|Coho Winery Sp. z o.o. - Enterprise License|54|5|Negotiation|Referral|Renewal|17500.00|75|2025-10-08|2026-01-06|
149|The Phone Company SARL - Data Platform|28|11|Closed Lost|Website|Renewal|18000.00|0|2025-02-09|2025-05-17|2025-05-10
150|Graphic Design Institute AG - Enterprise License|60|1|Proposal|Outbound|New Business|5000.00|50|2026-01-14|2026-04-24|
151|Litware GmbH - Migration Project|12|2|Closed Won|Website|New Business|8500.00|100|2026-02-09|2026-03-21|2026-04-03
152|VanArsdel SARL - Enterprise License|27|3|Closed Won|Website|New Business|15000.00|100|2025-05-19|2025-07-22|2025-06-21
153|First Up Consultants SARL - Support Renewal|29|3|Closed Lost|Website|New Business|32500.00|0|2025-08-28|2025-09-18|2025-09-09
154|The Phone Company SARL - Cloud Subscription|28|1|Qualification|Partner|New Business|73500.00|25|2025-09-27|2025-10-17|
155|Liberty Delightful Sinful Bakery Ltd - Migration Project|35|9|Closed Won|Website|New Business|55500.00|100|2025-11-08|2026-03-03|2026-02-17
156|Margie's Travel SL - Cloud Subscription|47|5|Closed Won|Referral|New Business|16000.00|100|2026-04-14|2026-07-31|2026-06-28
157|Northwind Traders GmbH - Reporting Add-on|11|1|Closed Won|Outbound|Upsell|64500.00|100|2026-01-22|2026-03-20|2026-02-20
158|Wingtip Toys BV - Migration Project|39|4|Closed Won|Partner|New Business|35000.00|100|2026-04-24|2026-06-25|2026-07-08
159|Fourth Coffee GmbH - Analytics Suite|8|12|Closed Won|Website|Upsell|69000.00|100|2025-06-19|2025-10-21|2025-08-30
160|Trail Frames Chalet Inc - Support Renewal|58|9|Negotiation|Outbound|New Business|41000.00|75|2025-12-11|2026-04-11|
161|City Power & Light SL - Cloud Subscription|49|2|Closed Won|Website|New Business|25500.00|100|2025-04-09|2025-08-15|2025-09-06
162|Coho Winery Sp. z o.o. - Migration Project|54|3|Qualification|Trade Show|Renewal|39000.00|25|2026-08-23|2026-12-15|
163|Litware AB - Enterprise License|52|4|Closed Lost|Outbound|New Business|88000.00|0|2025-01-26|2025-06-14|2025-06-26
164|Nod Publishers GmbH - Data Platform|3|2|Negotiation|Outbound|Upsell|20000.00|75|2025-08-22|2025-12-12|
165|Munson's Pickles GmbH - Analytics Suite|13|4|Negotiation|Outbound|Renewal|12500.00|75|2026-07-16|2026-10-11|
166|Litware GmbH - Support Renewal|12|2|Closed Lost|Outbound|Renewal|31500.00|0|2025-08-25|2026-01-08|2026-03-09
167|Winsome Apparel AB - Analytics Suite|50|8|Closed Won|Website|New Business|27000.00|100|2025-06-21|2025-09-22|2025-10-04
168|Alpine Ski House SARL - Training Package|26|1|Closed Lost|Website|New Business|31000.00|0|2025-05-26|2025-06-19|2025-06-11
169|Woodgrove Bank Inc - Migration Project|16|12|Closed Lost|Partner|New Business|33500.00|0|2025-07-19|2025-10-12|2025-09-12
170|Prose Ware Systems Inc - Training Package|19|2|Qualification|Outbound|New Business|22000.00|25|2026-01-19|2026-05-10|
171|Lucerne Publishing Ltd - Enterprise License|38|5|Proposal|Outbound|New Business|12500.00|50|2026-05-23|2026-10-09|
172|Trey Research GmbH - Analytics Suite|57|5|Negotiation|Website|Renewal|32000.00|75|2026-03-14|2026-06-10|
173|Alpine Ski House SARL - Training Package|26|8|Negotiation|Partner|New Business|74500.00|75|2026-09-02|2026-11-12|
174|Nod Publishers GmbH - Reporting Add-on|3|5|Qualification|Website|Upsell|57000.00|25|2026-03-31|2026-06-29|
175|Tres Chic Boutique BV - Migration Project|42|4|Negotiation|Trade Show|Upsell|125500.00|75|2026-08-25|2027-01-06|
176|Woodgrove Bank GmbH - Training Package|56|11|Closed Won|Partner|Renewal|36500.00|100|2025-10-05|2025-12-16|2025-12-30
177|Consolidated Messenger GmbH - Support Renewal|4|5|Closed Won|Trade Show|Upsell|21000.00|100|2026-02-04|2026-07-02|2026-06-28
178|Tall Poppies Ltd - Cloud Subscription|37|11|Negotiation|Partner|New Business|20000.00|75|2026-04-01|2026-05-30|
179|Southridge Video BV - Training Package|41|11|Closed Lost|Partner|New Business|34000.00|0|2025-05-29|2025-09-09|2025-08-09
180|Tall Poppies Ltd - Cloud Subscription|37|10|Closed Won|Referral|New Business|52500.00|100|2025-12-21|2026-02-07|2026-02-19
181|Northwind Traders AB - Reporting Add-on|51|5|Closed Lost|Trade Show|New Business|35000.00|0|2025-08-13|2025-09-30|2025-09-19
182|Wide World Importers Inc - Support Renewal|24|10|Closed Lost|Outbound|New Business|23000.00|0|2025-12-21|2026-03-01|2026-04-02
183|Graphic Design Institute Inc - Reporting Add-on|20|8|Closed Won|Website|Renewal|19500.00|100|2025-05-07|2025-07-24|2025-08-15
184|Litware AB - Reporting Add-on|52|4|Proposal|Website|New Business|20000.00|50|2026-07-23|2026-09-07|
185|Relecloud Inc - Migration Project|15|8|Closed Lost|Outbound|Renewal|77000.00|0|2026-04-07|2026-08-05|2026-07-30
186|Humongous Insurance Ltd - Migration Project|33|3|Closed Won|Website|New Business|48000.00|100|2025-02-28|2025-05-16|2025-05-25
187|Best For You Organics Ltd - Data Platform|36|6|Closed Lost|Outbound|Renewal|31500.00|0|2026-05-13|2026-06-08|2026-06-19
188|Prose Ware Systems Inc - Analytics Suite|19|6|Closed Won|Website|New Business|26500.00|100|2026-03-08|2026-04-09|2026-05-15
189|Graphic Design Institute AG - Reporting Add-on|60|4|Closed Won|Partner|Renewal|37500.00|100|2025-04-26|2025-07-31|2025-08-20
190|Trey Research GmbH - Migration Project|57|1|Closed Won|Partner|Renewal|45000.00|100|2025-05-15|2025-08-19|2025-07-27
191|Liberty Delightful Sinful Bakery Ltd - Reporting Add-on|35|5|Negotiation|Partner|Upsell|37500.00|75|2026-07-24|2026-09-08|
192|Munson's Pickles Sp. z o.o. - Migration Project|53|5|Prospecting|Outbound|Renewal|9500.00|10|2026-08-28|2026-12-10|
193|VanArsdel SARL - Migration Project|27|5|Closed Lost|Partner|New Business|17000.00|0|2025-01-11|2025-04-24|2025-05-06
194|Graphic Design Institute AG - Enterprise License|60|11|Qualification|Referral|New Business|22000.00|25|2026-07-02|2026-10-29|
195|Fourth Coffee GmbH - Training Package|8|9|Closed Lost|Partner|Upsell|12000.00|0|2025-07-20|2025-08-22|2025-09-05
196|Adventure Works GmbH - Data Platform|5|3|Prospecting|Website|Renewal|13500.00|10|2026-08-14|2027-01-05|
197|Fabrikam SARL - Analytics Suite|32|4|Closed Won|Referral|New Business|25500.00|100|2026-01-23|2026-02-12|2026-02-04
198|Winsome Apparel AB - Data Platform|50|6|Qualification|Referral|New Business|80000.00|25|2026-09-21|2027-02-11|
199|Wide World Importers Inc - Analytics Suite|24|2|Closed Lost|Partner|New Business|48000.00|0|2025-01-07|2025-04-28|2025-04-22
200|Liberty Delightful Sinful Bakery Ltd - Reporting Add-on|35|12|Closed Lost|Outbound|Renewal|42000.00|0|2025-06-14|2025-11-03|2025-09-11
201|Tall Poppies Ltd - Reporting Add-on|37|7|Negotiation|Website|New Business|37500.00|75|2025-08-16|2025-09-06|
202|Relecloud Inc - Analytics Suite|15|6|Closed Won|Referral|New Business|8000.00|100|2025-12-16|2026-02-02|2026-01-19
203|Nod Publishers GmbH - Training Package|3|5|Qualification|Referral|Renewal|36500.00|25|2025-09-07|2026-01-24|
204|Trail Frames Chalet Inc - Migration Project|18|9|Closed Lost|Trade Show|Renewal|24000.00|0|2025-08-25|2026-01-22|2026-01-04
205|Southridge Video BV - Reporting Add-on|41|4|Closed Won|Partner|Upsell|5000.00|100|2025-04-28|2025-06-30|2025-06-08
206|First Up Consultants SARL - Enterprise License|29|7|Prospecting|Partner|Renewal|17000.00|10|2026-08-01|2026-09-16|
207|Margie's Travel SL - Migration Project|47|1|Closed Won|Website|New Business|19500.00|100|2025-12-17|2026-01-17|2026-02-19
208|Alpine Ski House SARL - Analytics Suite|26|1|Closed Lost|Referral|New Business|15000.00|0|2025-05-18|2025-08-26|2025-08-25
209|Relecloud Inc - Migration Project|15|5|Qualification|Outbound|Upsell|41500.00|25|2026-06-13|2026-10-10|
210|Lamna Healthcare Ltd - Training Package|34|5|Closed Won|Referral|New Business|16500.00|100|2025-09-12|2025-10-23|2025-12-06
211|Fourth Coffee SL - Cloud Subscription|48|4|Closed Won|Referral|New Business|31000.00|100|2026-01-06|2026-03-07|2026-03-16
212|Fincher Architects SpA - Support Renewal|46|11|Closed Lost|Outbound|Renewal|28500.00|0|2025-03-06|2025-04-14|2025-03-29
213|Winsome Apparel GmbH - Migration Project|10|8|Negotiation|Outbound|Upsell|76500.00|75|2025-11-16|2026-04-14|
